from_frame,to_frame,fen
50,50, Rn1Bnqn1/QBQNkpQr/n1Rpbqkn/qNRNnQNp/1k1bK1rr/qK3BRQ/NpKPRpNP/1bNKqBPB
51,51, BbbqBrnr/BPRqBQK1/BbKRrq1N/QnpbrkPb/q1NRrpBK/qQkbbnNq/Nqrp1P1B/kkBrPqnp
52,52, PRrrRbpB/KqQnk1qn/QnnNNbRR/pBbQpqrB/krRkRPqp/nQpR1NrP/QrNrbbQk/nQKpkpkN
53,53, bPRbrKpQ/KnRqkqqk/QbKBQkbP/KBNNrPkb/Pkkknknq/BQNBnrb1/QrBP1PQk/NkpNbqrQ
54,54, NNnBbqR1/NbP1r1pQ/bnRP1RKQ/RNRknrKQ/pbqRQNPK/Rn1pBpBQ/1nPBRNrB/nkPpnKqB
55,55, bR1RRnRR/KQKnpkqk/qnPrnKpR/pNnbrKPN/1rpqbNKk/qKbQQpK1/KrRPqkKb/kPRpBR1r
56,56, rqPnkQ1B/QbbRbRqq/n1RbKKNN/rnpQRqNR/pPqqBnrR/BkRpK1pk/rbnb1Bqk/rRrQNpNn
57,57, pKqBpNbQ/rR1bk1Rb/BrrqNPrP/pKRPQ1K1/NkKBNbBq/RNrN1nnr/KNNkKpQR/RRQrKRqr
58,58, Q1rpBqKP/QRPKrrrB/RR1RqKRQ/RpbpnBp1/qRQKRRqr/qKQRKQBb/pNppB2N/PnBKRkPN
59,59, Rqkkkpnn/rnQRBbbK/QRnNpknk/kPQbrNnb/pRbb1qn1/qkpRrkr1/NRnqKPqk/QNRRBQKq
60,60, PnkqNKpn/1qnQ1pbQ/Qpbr1NBk/NkbKbPkb/nNrPbKrB/1NprkbQP/kpQnnBqk/K1NKKNqP
61,61, RrrqpKBr/1NQKbqrn/NBBKpkNP/BqnNQNPk/RKbP1QqK/qnKpkBRN/krnNPnKQ/KRpkRN1k
62,62, nqrQKQBp/NQPKkQpb/1qRPRqnK/NNqBbKQq/RkpknQkb/PkqBBqbq/R1bkKprR/1NNrBbPP
63,63, kqBnkNnR/kPbNqPk1/rBprqnqp/kNKBkpQP/k1nQrNNq/PnRQNBQQ/kRQp1kNr/bnRnbr1Q
64,64, NKnr1PRn/Bk1NrbQr/qnpQpRR1/qnKnnrpb/KRkkQqRB/PnpQpnPQ/rRnqbrbb/bPrk1BnR
65,65, P1K1kKPB/QKNknrNP/Pkqkn1bp/QqbkPqBB/NQnBpbbr/RNqNR1np/bkpBQRPQ/qnKqQnnn
66,66, KNBqkrrq/RppNPNrr/Q1bKQbNn/q1KbNQrp/npqRppkk/BP1krqpR/P1rqNkQr/BnrBNrnp
67,67, K1N1b1Kq/ppNPpNQQ/Nb1Pk1qq/RqbNRNPp/ppQqq1Np/pBBpKPrb/qbrb1Rpn/RKnkqnBp
68,68, NNNbkpRK/qqqb1bRK/rbKNRNbn/QPQbK1NK/RnbrQQpR/qNnNpRPN/kqKnKKpb/rKKn1nkq
69,69, PNrBPPBk/nr1PkPrB/bNPBBpKR/nqBPKrqP/RRpPnrrn/RqRRBQBR/NPNb1qkb/N1BPb1Pb
70,70, qkBbPB1Q/PbKkKbkP/nkNknbNK/1BNKqb1N/qPRbKKrr/NqnrRPnK/1qKPKrnn/QNbqqppB
71,71, nNRPNrbR/KnkQPB1n/N1NKKqqr/nNNkBKkR/bQKPKqr1/B1nNQkQK/1nprpPpB/PpNnRPpB
72,72, PPbbnQbB/B1NqRRPK/1RpbbrPb/n1ppprNp/1B1QkPRq/pPQbrkqP/qPNRQRQr/pRpnrrBR
73,73, pkPRq1qp/rqbRPnQK/PPpKqQnN/rqBPrRqB/rqQ1p1Bq/nk1qkPN1/PnKBrbqr/NKPBRQpK
74,74, nPRKQKpK/qPBPnbrr/prRpNnbN/kNNNNQRN/pkrnPQnB/qRbkqnQq/qQ1rnR1K/nbkBBqPR
75,75, RqnbKQrK/RPKkn1pK/NpkK1RKn/QqnpnPB1/PRQQpNKB/NRkpkk1q/nbpPKp1b/1kKnnpQr
76,76, Qprbb1bp/qp1PbQbQ/KQNkNRBq/Qq1kQPQQ/KRnPRrRQ/KPb1NPpr/BpNbPQNn/2rBBn1p
77,77, kQPbNQnP/BnqpPKrP/NPBnrbqp/nQnQpPbN/bbBpnrkr/bkpKqRKn/bnpQ1qBp/1QNq1qbN
78,78, k1K2pnK/Pb1rb1kN/npbQnrpK/QbBKrPnK/KqQ1pK1n/nKPNBPN1/NKQNpPKb/pQrkr1rN
79,79, qQQkBQNq/KKQNkpqK/1BpNRpQb/BPrKPqnp/pKRKrbPk/Qbq1QNrn/kPPQrbkq/rRkNn1NK
80,80, bBQpnKNQ/RBkNNpBp/bNKqrbpk/QrRKnQPB/qRKR1KbP/kKBqQPkp/qPnnNrqb/rrbnBqNK
81,81, PkKb1QPn/QNbbQnNn/NPprNQRB/qBpNkRNq/K1nKpRRQ/RBrk1nkK/nN2QQQq/NPBb1Rpb
82,82, NQpqkQRQ/QpBBKBkn/PKnNnN1b/1QQqbPpb/1rBQQNbQ/QNRkrQkk/NkBrBKQK/qrppRNNp
83,83, nNrrqkBQ/qkP1NnpR/1RKkQRrK/KpNpqBQn/NnpNrbKB/PnrnrPKb/pnbBp1Bb/qQbnpB1k
84,84, QqbkPPPp/rqnQB2B/BKBKkrKr/rqRNrBNK/rnBQPQpQ/rkQrnN1N/KqkQBRBk/pqbp2Qp
85,85, Qkb1QBKQ/nbNr1PRB/qq1NBbPq/qBqB1rQP/kKkRkQqn/r2BPrqr/NPPRqQBk/qkbQqrQP
86,86, rrk1Nkbp/bKnnqRn1/kq1kRN1R/KqKb1NkN/brNRbp1p/rqRNBQQb/rqkBk2N/k1BrnQKb
87,87, nKQrKrpq/qQbQPKKP/KnRbPbPR/QRPqNrNb/RkpbPkqp/N2RPKqr/1rK1K1Rb/knrKNqKP
88,88, BNnKKRRP/kKrBQ1PN/nBkrqKrb/BBRrRBNN/qkBBQk1r/pKNnBpqB/rBPnqBBp/BKB1KrNK
89,89, RPNqBPnR/rNbPbBRN/pNnBNNnN/P1pKbbNB/B1b1PNQR/pnKpPRKP/nnkNkKpr/R1Bp1Brk
90,90, PKbNRnqq/BnbKqppQ/1kNnBQQN/QnBQKKkP/NQNkQqqN/kPQqbnbK/BrRPPbkp/Nnp1RPbr
91,91, p1NNRqRR/rNnnQr1P/nRpbBPn1/PpbnbqPR/rn1QNbKQ/1NBpRnNB/PBpbPb1R/NbRQRQrN
92,92, bPpnqKRb/BPRKpNrN/QqPnQqPQ/rrqbrBB1/BkQQnnBq/KQKBr1nB/BbBbr1kR/KqPpkbnb
93,93, nKppQQpR/KkKq1QRK/Q1rnrQkk/qkRrBkKQ/pNkNprbb/NPNPPqPQ/PbqQPBPr/bRbrBqkb
94,94, qNPqbBPb/qkrKNqrn/KRrNPBpb/NKrrQ1Rq/knbNnKnq/kqbrpbRr/pKRbQRBQ/pPQ1b2r
95,95, RqppKrrB/pKnrppR1/QPppkQPK/kqnbRrRP/BBPnBqkB/rrbrnRKB/1k1bPRrn/QpQPBQnk
96,96, k1Pr1br1/NPknBPKq/KRNPkq1q/PkBKQQRK/KkqnQnnp/BKPrbnBp/KrQqRpKk/2qqbPnr
97,97, RqqPkqQN/QBbrBqNr/1kqKPBNk/PqqQrbKp/NnBNkqqQ/Nkrkp1Q1/NKRnPrRP/QbkQqKRN
98,98, NqBBrqrb/nkP2K1q/rKKqprPr/NprRbPQQ/qbN1PNnn/2qnKQBp/RKNbnrbQ/qbKqr1bB
99,99, QkrQnqBq/pq1QBkBn/ppqKRqQq/qBkrpKQK/RNrqQQQb/Qbkkq1RB/RnR1Q1QB/kkB1PbkK
100,100, 1KKBNPnp/1qp1BRk1/nNKqKqPK/qqrQNkPN/rRpQbPRr/PprqNbkq/NkRNpQBQ/PrRRpQKK
101,101, nP1RNnnB/rpPnNBkP/rQPBNRBB/QnRnrRqK/BpNRrkQk/QnBQNkbB/rNrBKPqn/R1PpBbKr
102,102, RpnrPb2/krPNQ1nK/Nqn1QkQb/p1RrQkqN/Pq1BBpQ1/QrrQb1BN/1bbNrbQR/RqBQpPbr
103,103, n1rKBpqR/pnbN1QKB/BNPNKnB1/B1PkrnnB/bPrqNQPN/qPRqNNBb/rqKBRRqP/BRPqbPBB
104,104, pbkpRPNB/qKRrQrKK/n1nqkbqq/krKp1KKb/qnbqBQKn/qQnpRrbR/PkQPrBQb/RQKBkp1R
105,105, pKpKKprK/kBRNQrkn/kbbkQRBq/PQRQBnQ1/PQrnQnpK/KppkPNRk/NQprKNKP/nnknKknb
106,106, NnBqprbP/3qKQqq/knKpnRkP/KNRqKnrp/K1qbb1QQ/KqpkrnrQ/RKQNRkR1/PRBKK1bB
107,107, pQBbNqNK/KBpNbqKR/RQ1BnN1r/NpNPKbBK/KbrNNrQq/NPkNNRRb/BPrBqbRP/Kq1Bqqrq
108,108, QqkRbKPK/bNrqqKBR/rrKrK1bp/BrnQNnqp/QQKpPKkp/pqkp1BQN/KBnnnBKp/kBbKb2n
109,109, NBqPBnPQ/pbbkKBRp/pPqNNQnR/1PRKQKBP/bkbnRprN/NKqkpBPB/RrbqkqBP/1pK1PnkB
110,110, rKQ1kQrq/nbBNBQ1R/BbBkpNKP/QP2rbkq/bPkpbbP1/nRp1kpN1/PQqkBKrn/q2qKpPq
111,111, RnpqQBpr/bpQnkR1p/RN1BNBQb/PqqrBNnn/BkpnBkPn/nrk1QBQQ/1kKR1Qpb/NqrpnRRn
112,112, KRqkNbNn/BnK2qrr/KNkbrqPP/rN1NNnrR/qpKbpkrp/kPknbpBb/RkqBPqqN/PpPknKnn
113,113, nkp1nK1Q/K2rPrnb/Rbkrbqkk/Qqkp1QBP/qPKpKQKK/QkRnkKrq/RpqpBnBR/BQrPpkRp
114,114, p1pQpqPq/bRqNpnqR/krprnBK1/pKQrprNp/nnrrNbnp/BrnKpBpr/BrqqkQq1/nkkPqbbR
115,115, pNPnQqbr/brBqpb1N/BNqnbKPr/N1Brnpn1/k1rBBNpk/PBpkkpkr/RrnBnbPb/KBn1BpKp
116,116, PQB1bNKk/QbqPRqPB/KnPKnRqQ/NpqnN1PK/kQ1PPpbq/BQPkBkRB/BNNNBbbP/QBr1kbQK
117,117, BRRRRK1b/qrNkpQqR/brqPKknP/KQQRkQKp/RbrRrNQb/PkRPkQnb/npQn1QRN/rBBBKr1r
118,118, Rpnpknkk/BkrnPpq1/rrnKQnNR/nQkbNR1R/rBkRrBpp/rqNBBBpk/kNPNRRkb/kBkrRQbk
119,119, rKqBQ1Bk/rqnKbBKP/RBbQBQ1P/B1qQNKRp/pnrpBnBB/N1qpNBqN/Bnqnn1rR/NkBnnQKB
120,120, pQqPBQn1/brbN1b1P/pNPQk1Pq/nNKnqpKk/RkrKr1Rn/KqNpkN1N/NPRBBKNN/nNK1KnKp
121,121, nrNP1RPN/kqbBBpqR/RKqqQQNq/qkpKBkNB/npQKNpnb/QkBQPRqp/PBnqrkQK/nPpQKPbQ
122,122, NQQNPqBq/nRRQKqbP/NkqrBBkn/pPp2QpP/NQrB1PRq/1RRbQK1K/RbbKQrRr/nPBKPbRn
123,123, pbnNPPKP/nNQPpnRR/PpbQkPKN/1qbbKkRR/NrBrRnkq/BPnkKnnb/nBPrnKnr/bkRQk1KN
124,124, pQRqqbbp/qqKkNNKR/rkkqBkrK/2rrpNrQ/BPKRqnPb/bRKnpnPn/RrnbRQRb/RnBKR1nP
125,125, RnNQ1NQR/Rb2QNRQ/rnQ1krkK/BPqNKqkR/1nb1Q2R/BPrq1Bpr/PBkBNBrK/QpQPQPPp
126,126, KbbbrQKb/RQNnkBRK/1pkpBp1q/kqn1RbpQ/BPqbkn1K/rQPRnpKP/1ppRnnqp/pNk1bQ1B
127,127, qNQR1Rpp/NPqPnPqR/Q1rQrPNK/N1NqNpPB/P1qKqqQ1/pnKbP1Bp/rNQnqpBq/qBKPQBQr
128,128, RRNBBBRk/nQqNkNQP/KRrkNRPR/NnnqNnBp/kqkpRbk1/pqPNRKnk/BrkBnQKB/NknNkpRp
129,129, pRkQbKKp/BrqRKpRp/KQNnNKrb/1QbQrpPn/KRBNBbQk/NnpQQKkB/QPpNnKq1/KbKn1Bkb
130,130, K1K1kqpN/RKNn1nkq/knRRqbkn/NbknkKpq/BrkRpNPR/KnPqkpPr/BpPbQBnP/PbQBkRqB
131,131, rbpRKrQK/BPpQpqnr/Q1b1rR1q/Nqnbrqkk/1KkRrb1k/kq1QbKNK/kPRnN1rk/QP1krkPQ
132,132, QKrpnPqP/pQRbBrbb/1p1PnKRQ/kpqNBrKr/RK1Q1NQN/Qb1BkBbR/qbPP1QBn/RbPBNQQK
133,133, BqQNnQr1/rQPnN1kr/B1qNnKRk/KBPRbRNr/1KQkkQbk/q1N1nbnr/n1PBPKBN/qRBNPNbp
134,134, RrBpbQRK/QnpQ1NNk/Bk1kNpNk/bRnp1br1/KPNrrPQN/k1qKrNpK/QbRpnr1B/pbk1RnBk
135,135, pbqbnkKK/NprbnqPb/NnkR1BPN/kpqNNbPK/QnBbKKRn/KprRrRPk/1PRNqbkN/kBRpQNQr
136,136, PbKP1PNP/PB1NkkNP/nnrKkPpB/KrqnBnNb/Qk1PRBkb/NrQbPQKR/bBQ1NKKR/qpRKbNqP
137,137, brRrrppb/nKKpQqbK/RKnKQRrQ/BNPNqQBb/QBRbBPqQ/nRR2qKN/NP1pqqPb/PkKP1kbp
138,138, KKQBkNQN/1QPbR1QN/PK1PNRQB/qQR1NRnQ/1QqrqkKQ/rpqKQb1r/KBbKKN1N/nQkBKqR1
139,139, PPqkpBRk/pbNqpbqp/1PNQB1b1/kNKNQbQb/bBpP1kPP/KrpnQBPn/NNqRqBrq/PNRrbBRq
140,140, R2qKqR1/nPNNqpNk/N1knqNKR/RqRQpRkN/1RQ1NBpN/QpqnP1N1/KrRPpBkb/kKqKPRbr
141,141, PbQQBQkq/qQ1pnnnB/nKqPQPpQ/nQqprRrP/nn1bbkrn/K1QPnNkQ/rkkpNprB/pBRkrpk1
142,142, PBP1PbNq/qpnNqBQp/RpBpk1Rb/qb1NpPbR/bqBNp1pq/bQNpkK1K/kbRrRrQn/nPPBbkKB
143,143, nQNqKnpQ/kBPbqPbQ/1RkQbRBq/qqQbKk1p/rrQKknNN/bqKk1KKn/RqNBppRR/BrQqpQRq
144,144, rQ1KkqKN/NNnR1KnR/PQRq1kKr/qPQR1rkq/BBbrNBRq/qbnqnNNB/PBrPPRbq/QRrPNK1K
145,145, kNNBnbNp/kbRQrrPk/rNKKpnNQ/kNnKBRkN/qQ1Qkb1p/qpNRKPbp/PQKBnpbP/PnNkPqBN
146,146, nNbnb1pN/q1PbpbBk/pqPkPnBN/kNnqbrbk/QKKkQKnR/bkb1BPKn/NKpNknqP/b1n1PQpK
147,147, 1QqKrrpB/QqKkpkb1/QnRQKqkr/b1N1kB1P/PQRpNkkk/Pq1PNQqP/B1p1knPB/PBKqkKBb
148,148, kbPKKpqp/bPrrQkbB/PrBBNK1n/RBnqpBbR/NBpNb1QQ/pBnq1qrN/k1rBnkPQ/1BRpPKrK
149,149, 1rNrqBQr/RRnRkkQr/RqRqnKNP/1NKQRrBR/rrKrrQqK/BqkbrRkr/NbB2QKN/KBbPRrQP
150,150, PkkRKKQn/rNrbPRkk/NqbqQBbk/pNQrR1Qk/NkkQpBrq/kRNq1rNk/2KQQQK1/NqNKRqPp
151,151, rQrpBRPN/pqRpqPRQ/prRkbnbb/pbn1KRQB/rNPpNbKr/pKNrQrQN/1KQqpppN/RbpnprQ1
152,152, PKRpbKBR/1qpprrqr/nNknPrbr/qQqNNPpK/1PknRRn1/RPPqBnQQ/PnpRBqPk/rkNrRnNk
153,153, 1kbpNN2/nRNqnNNR/rKNrqkQP/NBPqqrkK/BnKqRNkR/qpNkQ1P1/bQrPpnp1/RBBQrpRn
154,154, kNRkNkkb/k1knrRBN/nNpQnQpn/bRqKbrN1/QpBrrR1P/1BPrnKBQ/pKKkpqPr/bpbkRNqr
155,155, qbb1N1pq/rRNp1PKk/rkkbnKqb/PppKNknq/ppNpKpN1/pbRQPQnN/k1rQpQbP/BQRpNRrK
156,156, PKNnrnKk/KnkpRBqK/KNKnBBb1/kPbkkKPN/bbRRnkrq/QqQkqrkN/NPBQqkBP/pBrr2NR
157,157, KRNbRkQn/R1rNQPPQ/PbNKpRRr/rkNN1kkB/nRpn1Kpr/bqK1N1rQ/RnK1PNNB/PKpn1kbk
158,158, rKnn1Bbk/qRPPbpBN/pppkRnrk/1PqKPpRN/qBKRRnBb/KknP1bkp/kBbnPKRR/kqKbKqkR
159,159, nKPpKKnp/nqKnrprr/Np1RpKnb/rKRKbpKN/NpNpnNQQ/1pnRnNRQ/prnrBKqk/pBKRBNQb
160,160, nkQkpQnQ/rkBQrPrK/qr1PqPQr/rBnNPkkp/NRBk1npn/pBkBRRBQ/Pqk1BqNP/krP1qRpB
161,161, brQNKPR1/RnpN1npb/rKNnqNRK/rRbpQ1Pq/QNkbPpQN/qBRkbrqB/rPNkRNqr/kQNrNk1n
162,162, qnNQQpP1/qbQQRRnR/1qpkPn1Q/pbKbnbkB/QKqnBpBk/1RrrkpPb/rNnpNbqq/1bPnnnqb
163,163, krqqKbPR/bRPNQ1Qp/rrRBKk1q/bPKBNrKp/1Qk1BPRR/qR1pq1bP/KnbpKqKb/bPRqQkkn
164,164, rRqRPPBb/BR1pq2Q/qRKqNQPp/kKqQkkkp/KBRqkBpR/kKBRrqP1/1pQRnbBq/nKPrnRBN
165,165, nkRkqNq1/nkQBBkkk/kQqpbQPR/BKBkKnpq/bRBbKRBn/rbPKBnRQ/qbNqprR1/pkbrK1rr
166,166, rKN1nnQb/rNnNnRBK/KPnRbkKP/PkRrPnKP/PRbKrqpK/bb1QRnqr/pqnNBNNR/QNRRBQBk
167,167, RrNpNrpr/qpKnbRnB/QnrkPQBP/BRRNNPqN/qBpRQkQ1/qRrPq1Rq/kQbQBNRq/nrKbKbpQ
168,168, kbrkkQnq/Q1RRRqR1/bQQrBkkq/RPRp1qqP/RN1KQRnq/kbkk1pPp/bRkPbKkp/rb1qrPKN
169,169, B1rKPPpQ/QbPBnKNr/pKqqBBPR/kKkPpnQR/PBKBnrQp/b1r1QQ1r/KR1nKRKp/rRrP1rBN
170,170, QpqkNnbq/RRPN1Kbb/p1brpqPq/rq1qNPBN/pNBQPrnk/RR2p1q1/pRQP1NRq/KNpRKpPR
171,171, bkBPkqrk/qKRKN1P1/R1qkKnKP/RKQRrRkN/brBPBPkr/n2Rrp1q/kpP1BpRk/QQPQNpqn
172,172, rQBNQQKR/KPkRBBQq/bq1nBRPB/kQrrpBkQ/Qr1Rkp1b/BRq1nQPq/RnppnPb1/nQb1rn1N
173,173, QQnnpKqK/2nRrbKk/RKbbKKKQ/1PkQPKkr/BQBrQQpb/QbnrN1BK/1r1nrnkb/KrkRP1nQ
174,174, BqNRPKN1/kPbqNNKR/1rnRQb1p/KbnkkBbk/qqbrqqBQ/RQnRbRPN/nrkRkPQP/bBqbbrRK
175,175, nQPRNpRq/1QNbrQRK/PkKrQbQb/QkKP1pnP/1qRBqnkP/1pRkPN1B/NKkpPbBb/1nK1qRqR
176,176, qkQkNbnb/kknNQKqB/QrbN1BRR/BRnbpKNn/bPPPpnbn/3NbNKN/PqR1PPNR/BBBkBNBR
177,177, K1Rq1Pqn/qq1qk1PR/RBk1NNbq/rNnpKRbq/PKnkRQpK/NbkPpNbQ/B1nkkn1Q/PBKNnpNq
178,178, NBQBNkbP/NkPq1Bqp/qR1pqbbq/pnPPrKbp/PBQBnPpR/nppNRbRQ/QrnKqnbB/npPRKppQ
179,179, Rbpk1NrB/NRbrRnRK/1NBnBbbP/NPbNr1qk/NRPKnkPR/rr1KrrPP/np1nnPkQ/rRbkbp1B
180,180, BNnQRrkK/PKqNnkPB/1N1QkbKr/1RqQK1bk/pbBKbRRQ/pqkp1Pkb/PRBRrKRP/Qp1NPnQn
181,181, QBrppRrR/kKNPnK1P/PbqPRQPn/R1pbqqkK/rQQnkpk1/qp1BkKNq/KqKqPBRp/KbrQnNnR
